asset_slug,platform,format,goal,eyebrow,headline,support_copy,chips,cta,layout_direction
brand-memory,instagram,1080x1350,Introduce Knoledgr as the calm system for remembering why work changed,Knoledgr,Decision memory for teams,Search the why behind conversations decisions documents and execution,Decisions | Knowledge Graph | Ask Recall,knoledgr.com,Large serif headline with one dark orbit proof panel and 2-3 compact chips
brand-memory,instagram,1080x1080,Introduce Knoledgr as the calm system for remembering why work changed,Knoledgr,Decision memory for teams,Search the why behind conversations decisions documents and execution,Decisions | Knowledge Graph | Ask Recall,knoledgr.com,Centered headline with supportive dark panel and generous breathing room
brand-memory,facebook,1200x630,Introduce Knoledgr as the calm system for remembering why work changed,Knoledgr,Decision memory for teams,Search the why behind conversations decisions documents and execution,Decisions | Knowledge Graph | Ask Recall,knoledgr.com,Left text block with right-side proof card and restrained orbit lines
decisions,instagram,1080x1350,Show that Knoledgr stores decision rationale ownership and impact in one place,Decisions,Decisions stay attached to the work,Capture rationale owners implementation notes and outcome reviews in one record,Rationale | Owners | Impact,Rationale / Owners / Impact,Dark background with one bright decision record card and three supporting note blocks
decisions,instagram,1080x1080,Show that Knoledgr stores decision rationale ownership and impact in one place,Decisions,Decisions stay attached to the work,Capture rationale owners implementation notes and outcome reviews in one record,Rationale | Owners | Impact,Rationale / Owners / Impact,Compact decision card with strong headline and clear three-part proof row
decisions,facebook,1200x630,Show that Knoledgr stores decision rationale ownership and impact in one place,Decisions,Decisions stay attached to the work,Capture rationale owners implementation notes and outcome reviews in one record,Rationale | Owners | Impact,Rationale / Owners / Impact,Wide left headline and right-side decision surface with visible rationale owners impact
knowledge-graph,instagram,1080x1350,Position the graph as a readable way to recover context,Knowledge Graph,Recover the thread in seconds,Knowledge Graph and Ask Recall reconnect the real history behind the work,Graph | Linked memory,Linked memory,Night background with one graph panel and one grounded answer panel
knowledge-graph,instagram,1080x1080,Position the graph as a readable way to recover context,Knowledge Graph,Recover the thread in seconds,Knowledge Graph and Ask Recall reconnect the real history behind the work,Graph | Linked memory,Linked memory,Centered graph proof with headline above and answer strip below
knowledge-graph,facebook,1200x630,Position the graph as a readable way to recover context,Knowledge Graph,Recover the thread in seconds,Knowledge Graph and Ask Recall reconnect the real history behind the work,Graph | Linked memory,Linked memory,Wide composition with left message and right knowledge graph proof
ask-recall,instagram,1080x1350,Show that Knoledgr answers from linked history not generic AI,Ask Recall,Grounded answers from team history,Ask what changed why it changed and what still needs attention,Decision | Meeting | Sprint,From team history,Stacked prompt and answer cards on warm paper with provenance chips
ask-recall,instagram,1080x1080,Show that Knoledgr answers from linked history not generic AI,Ask Recall,Grounded answers from team history,Ask what changed why it changed and what still needs attention,Decision | Meeting | Sprint,From team history,Prompt card above answer card with one strong blue proof surface
ask-recall,facebook,1200x630,Show that Knoledgr answers from linked history not generic AI,Ask Recall,Grounded answers from team history,Ask what changed why it changed and what still needs attention,Decision | Meeting | Sprint,From team history,Left copy block and right stacked prompt-answer interface
execution,instagram,1080x1350,Show that sprint flow and blockers stay tied to context,Execution,Conversations Documents Follow-through,Sprint flow blockers and linked context stay visible in one operating layer,Sprint flow | Blockers | Linked context,Sprint flow and context,Use a 3-column sprint proof block with a dark blocker card below
execution,instagram,1080x1080,Show that sprint flow and blockers stay tied to context,Execution,Conversations Documents Follow-through,Sprint flow blockers and linked context stay visible in one operating layer,Sprint flow | Blockers | Linked context,Sprint flow and context,Compact sprint board proof with one dark blocker strip and one linked context note
execution,facebook,1200x630,Show that sprint flow and blockers stay tied to context,Execution,Conversations Documents Follow-through,Sprint flow blockers and linked context stay visible in one operating layer,Sprint flow | Blockers | Linked context,Sprint flow and context,Wide editorial layout with headline on left and execution proof system on right
